id,name,release_date
0,千禧曼波,2001/11/17
1,KANO,2014/02/27
2,巴黎，德州,2016/09/02
3,情書,2016/09/09
4,音速小子 3,2017/01/19
5,她與他們的愛情,2017/09/08
6,失樂園,2017/09/08
7,無人知曉的夏日清晨,2018/06/08
8,坂本龍一:async紐約現場,2018/07/13
9,彩雲飛,2019/01/19
10,普羅米亞,2019/08/16
11,小丑,2019/10/03
12,星際效應,2019/10/05
13,風兒踢踏踩,2019/10/19
14,燃燒女子的畫像,2019/12/20
15,誤判,2019/12/27
16,我的英雄學院劇場版：英雄新世紀,2020/04/01
17,銀翼殺手最終版,2020/06/12
18,東邪西毒：終極版(數位粵語版),2020/06/19
19,EYES ON ME : THE MOVIE,2020/06/24
20,恐怖份子,2020/06/24
21,藍色恐懼：4K數位修復版,2020/07/17
22,再見箱舟,2020/09/05
23,《少女與戰車 最終章》第1+2話,2020/10/07
24,幻愛,2020/10/15
25,悄悄告訴她 經典數位修復,2020/10/30
26,玩美女人 經典數位修復,2020/10/30
27,破碎的擁抱 經典數位修復,2020/10/30
28,GIVEN~被贈與的未來 劇場版,2020/11/06
29,未來的我們,2020/11/27
30,愛在黎明破曉時,2020/12/04
31,愛在日落巴黎時,2020/12/04
32,法蘭克,2021/01/15
33,龍貓,2021/01/29
34,鬼影,2021/02/10
35,墮落天使  4K數位修復版,2021/02/19
36,竊聽風暴,2021/02/26
37,我的母親 經典數位修復,2021/02/26
38,歡樂時光（上）,2021/02/26
39,歡樂時光（下）,2021/02/26
40,我愛你，你愛她，她愛他,2021/03/12
41,顫抖的慾望 經典數位修復,2021/03/26
42,父親,2021/04/16
43,女畫家與偷畫賊,2021/05/14
44,花束般的戀愛,2021/07/16
45,群青戰記,2021/07/22
46,魔法少女小圓劇場版 [新篇] 叛逆的物語,2021/08/13
47,薩滿,2021/08/25
48,花神咖啡館,2021/09/10
49,沙丘,2021/09/16
50,腦海中的橡皮擦,2021/09/17
51,攔截聲命線,2021/10/08
52,心靈遊戲,2021/10/09
53,嵐 5x20演唱會電影～回憶全記錄～,2021/11/03
54,諸葛四郎─英雄的英雄,2021/11/12
55,濁水漂流,2021/11/19
56,《少女與戰車 最終章》 第3話,2021/11/19
57,偶然與想像,2021/11/26
58,青春特調蜂蜜檸檬蘇打,2021/12/03
59,GIVEN~被贈與的未來 劇場版：反面的存在,2021/12/09
60,藍宇,2021/12/10
61,夏日之戀,2021/12/12
62,2gether電影版：只因我們天生一對,2021/12/24
63,鈦,2021/12/24
64,在車上,2021/12/24
65,記憶,2021/12/25
66,麥特與麥斯,2021/12/30
67,世界上最爛的人,2022/01/01
68,瀕臨崩潰邊緣的女人 經典數位修復,2022/02/04
69,詛咒,2022/02/04
70,BJ單身日記,2022/02/11
71,電影版 昨日的美食,2022/02/18
72,該死的阿修羅,2022/03/02
73,漂浪人生,2022/03/19
74,SEVENTEEN POWER OF LOVE : THE MOVIE,2022/04/20
75,重慶森林 4K數位修復版,2022/04/22
76,深海獵奇,2022/05/14
77,馬達加斯加：狐猴之島,2022/05/14
78,最後的冰川,2022/05/14
79,哈勃望遠鏡,2022/05/14
80,回歸野性,2022/05/14
81,捍衛戰士: 獨行俠,2022/05/23
82,小小兵2:格魯的崛起,2022/07/01
83,春日小戀曲,2022/08/12
84,哈勇家,2022/08/12
85,蜘蛛人：無家日 戲院加長版,2022/09/02
86,神隱少女(日文版),2022/09/08
87,花樣年華 4K數位修復版,2022/09/16
88,飯戲攻心,2022/09/23
89,正發生,2022/09/30
90,以你的名字呼喚我,2022/10/14
91,大逃殺 4K數位修復版,2022/11/04
92,如歌的行板,2022/11/05
93,黑豹 2：瓦干達萬歲,2022/11/09
94,2046 4K數位修復版,2022/11/14
95,劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS,2022/11/18
96,天空之城(日文版),2022/11/25
97,大熊貓(國語版),2022/12/01
98,海底世界(國語版),2022/12/05
99,一起一起,2022/12/16
100,蘿拉快跑,2022/12/17
101,朝聖之路：聖雅各,2022/12/23
102,鬼搖靈2：陰語陣陣,2022/12/23
103,鬼壓床了沒,2022/12/23
104,劇場版 弦音 ─初始的一射─,2022/12/30
105,灌籃高手 THE FIRST SLAM DUNK,2022/12/31
106,日麗,2023/01/25
107,霍爾的移動城堡,2023/02/01
108,青春養成記,2023/02/08
109,毒舌大狀,2023/02/17
110,愛情美樂地,2023/02/17
111,巫母,2023/02/24
112,本日公休,2023/02/26
113,投奔怒海,2023/03/03
114,8釐米：詛咒影帶,2023/03/10
115,小淘氣尼古拉：快樂的源頭,2023/03/24
116,夏日悄悄話,2023/03/31
117,魔女宅急便(日語版),2023/03/31
118,鬼玩人 4K數位修復版,2023/04/07
119,四百擊,2023/04/16
120,魯蛇大翻身,2023/04/28
121,窄路微塵,2023/04/28
122,神鬼第六感,2023/05/05
123,收陰機,2023/05/19
124,鷹勇潛艦,2023/05/19
125,烈火焚身,2023/05/19
126,BLUE GIANT 藍色巨星,2023/06/02
127,蜘蛛人：穿越新宇宙,2023/06/21
128,小行星城,2023/06/23
129,小提琴天后慕特：愛樂一生,2023/06/30
130,元素方城市(英文版),2023/06/30
131,不可能的任務：致命清算 第一章,2023/07/06
132,暗湧情事,2023/07/07
133,回不去的那座山,2023/07/15
134,飛躍吧！金牌英雄,2023/07/15
135,Barbie芭比,2023/07/20
136,奧本海默,2023/07/21
137,電影哆啦A夢：大雄與天空的理想鄉,2023/07/21
138,假裝沒事,2023/07/28
139,GT：跨界玩家,2023/08/03
140,忍者龜：變種大亂鬥,2023/08/04
141,一個人的朝聖,2023/08/04
142,景深之中,2023/08/11
143,親密（前編）,2023/08/12
144,親密（後編）,2023/08/12
145,四月物語：數位修復版,2023/08/16
146,喜幹會,2023/08/18
147,限時引爆,2023/08/21
148,MAMAMOO：MY CON THE MOVIE,2023/08/25
149,粽邪3 :鬼門開,2023/08/25
150,私刑教育3,2023/08/31
151,鬼修女II,2023/09/07
152,劇場版 少女☆歌劇 Revue Starlight,2023/09/08
153,換宿夜驚魂,2023/09/11
154,威尼斯魅影謀殺案,2023/09/15
155,德黑蘭雙面疑雲,2023/09/15
156,岸邊露伴在羅浮,2023/09/15
157,少女☆歌劇 Revue Starlight RONDO RONDO RONDO,2023/09/15
158,我的天堂城市,2023/09/15
159,自由之聲,2023/09/19
160,偉大的十四世：達賴喇嘛,2023/09/22
161,劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY2>,2023/09/22
162,劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY1>,2023/09/22
163,在旅途中：方濟各的朝聖之旅,2023/09/28
164,奪魂鋸X,2023/09/28
165,劇場版 PSYCHO-PASS 心靈判官 PROVIDENCE,2023/09/28
166,觸不到的肌膚,2023/09/28
167,他馬克老闆,2023/09/28
168,汪汪隊立大功：超級大電影（國語版）,2023/09/29
169,A.I.創世者,2023/09/29
170,藍色情挑 經典數位修復,2023/09/30
171,沒有國家的冠軍,2023/10/06
172,大法師:信徒,2023/10/06
173,塞納河上的船屋,2023/10/06
174,蒼鷺與少年(日文版),2023/10/06
175,周處除三害,2023/10/06
176,白色情迷 經典數位修復,2023/10/07
177,少年Pi的奇幻漂流（英國國家劇院現場）,2023/10/13
178,女鬼橋2：怨鬼樓,2023/10/13
179,紅色情深 經典數位修復,2023/10/14
180,雉岳山怪談,2023/10/20
181,花月殺手,2023/10/20
182,笨錢效應,2023/10/20
