id,name,release_date
0,紅豬,2024/01/01
1,一一,2024/01/01
2,鬼媽媽的假期,2024/01/05
3,韓國都市恐怖怪談：詭手,2024/01/05
4,巴赫曼-沙漠追愛之旅,2024/01/05
5,怪胎女孩,2024/01/05
6,叛諜檔案,2024/01/05
7,魔籽公主,2024/01/05
8,雙眼之間,2024/01/05
9,月,2024/01/05
10,搖滾吧！中二樂團,2024/01/05
11,崖上的波妞,2024/01/05
12,壞男孩,2024/01/05
13,怒潮,2024/01/05
14,鬼聲泣,2024/01/08
15,妙想天開,2024/01/09
16,爆裂點,2024/01/11
17,露梁：死亡之海,2024/01/12
18,蜂刑者,2024/01/12
19,網紅教慾,2024/01/12
20,少女與戰車 劇場版,2024/01/12
21,細野晴臣：再會美國,2024/01/12
22,消失的她,2024/01/12
23,春光乍洩  4K數位修復版,2024/01/13
24,美麗的聲音,2024/01/19
25,戰火下的小狐狸,2024/01/19
26,他的最後一個朋友,2024/01/19
27,一個人的逃亡,2024/01/19
28,貓王與我,2024/01/19
29,我不是教你詐,2024/01/19
30,SPY x FAMILY CODE: White,2024/01/19
31,光之美少女電影 ALL STARS F,2024/01/19
32,妖怪森林,2024/01/19
33,魅舞,2024/01/19
34,明天比昨天長久,2024/01/19
35,邪惡根本不存在,2024/01/20
36,一點一滴的死/長夜/一個女人生命中的三小時/山雨欲來,2024/01/20
37,五福女孩/隔河/再見觸身/泳夜,2024/01/20
38,注意看，這個女人⋯⋯/如果時間在此刻停下/我可以暫時逃跑一下嗎？,2024/01/21
39,臨時劫案,2024/01/23
40,劇場版 轉生成女性向遊戲只有毀滅 END 的壞人大小姐,2024/01/25
41,金派特攻隊,2024/01/26
42,邪妓,2024/01/26
43,源生罪,2024/01/26
44,醉鄉民謠,2024/01/26
45,去唱卡拉OK吧！,2024/01/26
46,情慾的界線,2024/01/26
47,莫斯科行動,2024/01/26
48,拯救嫌疑人,2024/01/26
49,飛鴨向前衝,2024/01/27
50,墜惡真相,2024/01/27
51,還錢,2024/01/27
52,機密特務:阿蓋爾,2024/01/31
53,鬼太郎誕生：咯咯咯之謎,2024/02/01
54,歡迎光臨黑手黨餐廳,2024/02/02
55,愛愛愛上你,2024/02/02
56,火上鍋,2024/02/02
57,戰地琴人,2024/02/02
58,在路上男情難未了,2024/02/02
59,不完美的愛情革命,2024/02/02
60,佩佩的電影派對（國語版）,2024/02/03
61,"Fukuyama Masaharu Live Film Kotodama no Sakiwau Natsu ""Boy Meets The Music"" @Nippon Budokan 2023",2024/02/06
62,外星+人2：回到未來,2024/02/07
63,七月返歸,2024/02/07
64,夢想集中營,2024/02/08
65,可憐的東西,2024/02/08
66,《少女與戰車 最終章》 第４話,2024/02/08
67,小子,2024/02/08
68,蜘蛛夫人,2024/02/14
69,再見機器人,2024/02/14
70,天眼救援,2024/02/16
71,鬼燭靈,2024/02/16
72,上流誘惑,2024/02/16
73,失控教室,2024/02/21
74,日日好狗日,2024/02/23
75,蓋世怪胎,2024/02/23
76,鬼影直播,2024/02/23
77,唐人街恰恰,2024/02/23
78,給我個機會,2024/02/23
79,「鬼滅之刃」 絆之奇蹟，邁向柱訓練,2024/02/23
80,鐵道員,2024/02/23
81,逆轉廢材人生,2024/02/24
82,悲情城市,2024/02/25
83,法庭遊戲,2024/02/26
84,飯戲攻心2,2024/02/28
85,沙丘：第二部,2024/02/28
86,鬼怨偶,2024/03/01
87,滯留生,2024/03/01
88,師情化慾,2024/03/01
89,雙面薇若妮卡 經典數位修復,2024/03/01
90,極限長征,2024/03/06
91,天使之心,2024/03/07
92,破墓,2024/03/08
93,BTOB,2024/03/08
94,反貪風暴之加密危機,2024/03/08
95,兩萬種蜜蜂,2024/03/08
96,電影版 X光室的奇蹟,2024/03/08
97,金門,2024/03/08
98,尋找小津,2024/03/11
99,不是你不愛你,2024/03/14
100,北極百貨的秋乃小姐,2024/03/14
101,青春18×2 通往有你的旅程,2024/03/14
102,下女的誘惑 經典重映,2024/03/15
103,城市時裝速記,2024/03/15
104,伏慄熊,2024/03/15
105,雷鬼之父：音樂無國界,2024/03/15
106,尋找湯德章,2024/03/15
107,笨鳥,2024/03/15
108,雞蛋和石頭,2024/03/16
109,惡獸之戰,2024/03/22
110,最後一次的生日派對,2024/03/22
111,盛夏最溫暖的初戀,2024/03/22
112,詩,2024/03/22
113,魔鬼剋星：冰天凍地,2024/03/22
114,鬼聖胎,2024/03/22
115,自由協議,2024/03/22
116,看到靈魂的那隻眼 師公,2024/03/22
117,（真）新的一天,2024/03/22
118,功夫熊貓 4,2024/03/23
119,GIVEN被贈與的未來劇場版：柊mix,2024/03/23
120,但願人長久,2024/03/26
121,哥吉拉與金剛 : 新帝國,2024/03/27
122,Strike！娜英,2024/03/29
123,鬼面女,2024/03/29
124,填詞L,2024/03/29
125,老橡樹酒館,2024/03/29
126,老鬼當家,2024/03/29
127,彼岸的真相,2024/03/29
128,親愛的愛莉絲,2024/03/29
129,特別總集篇 名偵探柯南 vs. 怪盜基德(日語版),2024/03/29
130,冰室蓮司：日本統一 台灣篇,2024/03/29
131,蜜鑰,2024/03/29
132,石門,2024/03/29
133,超人力霸王布雷薩 THE MOVIE：大怪獸東京決戰,2024/03/30
134,白晝如焚,2024/04/02
135,屍咒,2024/04/03
136,超危險警探,2024/04/03
137,天魔：惡之初,2024/04/03
138,劇場版 森林家族 來自芙蕾雅的禮物 中文版,2024/04/03
139,莎莉,2024/04/03
140,瓊拜雅：三重人格,2024/04/05
141,電影版 吹響吧！上低音號～莉茲與青鳥～,2024/04/05
142,東京公園,2024/04/05
143,SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,2024/04/10
144,怪物樵夫,2024/04/11
145,再愛一次,2024/04/12
146,窒命危機,2024/04/12
147,紀伯倫哈利勒：先知,2024/04/12
148,禁忌之慾,2024/04/12
149,無法融化的祕密,2024/04/12
150,劇場版 排球少年!! 垃圾場的決戰,2024/04/12
151,搬家 4K數位修復版,2024/04/12
152,OUT,2024/04/12
153,自戀男神,2024/04/12
154,偶慾,2024/04/12
155,非紳士特攻隊,2024/04/16
156,機動戰士鋼彈 SEED FREEDOM,2024/04/16
157,神鬼對決,2024/04/19
158,盜墓奇美拉,2024/04/19
159,噬血芭蕾,2024/04/19
160,瑪格麗特戀習題,2024/04/19
161,日安，朵朵,2024/04/19
162,給我愛過的前任們,2024/04/19
163,孤島診療所2022,2024/04/19
164,鬼天廈,2024/04/19
165,屍控大賣場,2024/04/23
166,aespa: WORLD TOUR in Cinemas,2024/04/24
167,特技玩家,2024/04/24
168,愛離巢,2024/04/24
169,不丹沒有槍,2024/04/25
170,犯罪都市4,2024/04/26
171,如果我可以冬眠,2024/04/26
172,邪厄恩典,2024/04/26
173,非關性愛,2024/04/26
174,全境炸裂,2024/04/26
175,背德迷情,2024/04/26
176,帝國浩劫：美國內戰,2024/04/29
177,錢不夠用3：全部夠用,2024/04/30
178,大發明家,2024/04/30
179,貓的報恩(日文版),2024/04/30
180,挑戰者,2024/05/01
181,蜘蛛驚,2024/05/01
182,少年的漂浪旅程,2024/05/03
183,慾望的盡頭,2024/05/03
184,長夜盡頭的微光,2024/05/04
185,熊出沒．伴我“熊芯”,2024/05/07
186,猩球崛起：王國誕生,2024/05/08
187,惡鄰羅曼史,2024/05/10
188,鬼妻塚,2024/05/10
189,假面騎士 THE WINTER MOVIE- 葛查多 & GEATS 最強克米GOTCHA大作戰,2024/05/10
190,短句之國,2024/05/10
191,我在這裡等你,2024/05/10
192,幻幻之交,2024/05/11
193,Silent Love,2024/05/11
194,夏日的文化洋行,2024/05/14
195,全面監視,2024/05/17
196,如果可以再死一次,2024/05/17
197,九龍城寨之圍城,2024/05/17
198,小熊維尼2：噬血維尼,2024/05/17
199,滅世男孩,2024/05/17
200,日落喜劇,2024/05/17
201,鴉色刑事組電影版,2024/05/17
202,魯邦三世 卡里奧斯特羅城 4K數位修復版,2024/05/17
203,BLOODY ESCAPE：地獄的逃走劇,2024/05/17
204,沉默筆錄,2024/05/17
205,刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【前篇】,2024/05/19
206,芙莉歐莎：瘋狂麥斯傳奇篇章,2024/05/22
207,不存在的騎士,2024/05/24
208,踹你死功夫,2024/05/24
209,馬奎斯之愛與群魔,2024/05/24
210,來世還作人,2024/05/24
211,再見哥雅：卡葉爾與布紐爾的最後巡禮,2024/05/24
212,布紐爾:超現實電影人,2024/05/24
213,鬼舞村：詛咒起源,2024/05/24
214,愛情本性論,2024/05/24
215,花芯蕩漾,2024/05/24
216,蘇維埃巴士站,2024/05/24
217,她說,2024/05/24
218,以愛之茗,2024/05/24
219,遠方 數位修復版,2024/05/24
220,被遺忘的人,2024/05/25
221,特莉絲坦娜,2024/05/25
222,假面騎士555 20th 復活的天堂,2024/05/25
223,女僕日記,2024/05/26
224,青樓怨婦,2024/05/26
