id,name,release_date
0,喵的奇幻漂流,2025/01/21
1,鑽石大劫案：極盜戰,2025/01/20
2,見鬼發財,2025/01/17
3,哈利波特：火盃的考驗,2025/01/17
4,乖女孩,2025/01/17
5,哈利波特：阿茲卡班的逃犯,2025/01/17
6,哈利波特：消失的密室,2025/01/17
7,哈利波特：死神的聖物II,2025/01/17
8,哈利波特：混血王子的背叛,2025/01/17
9,哈利波特：鳳凰會的密令,2025/01/17
10,哈利波特：死神的聖物Ｉ,2025/01/17
11,達荷美：祖靈回家,2025/01/17
12,【我推的孩子】電影版,2025/01/17
13,不能說的秘密,2025/01/17
14,日泰小食,2025/01/17
15,更好的人,2025/01/16
16,PUI PUI 天竺鼠車車 電影版 MOLMAX,2025/01/15
17,劇場版 忍者亂太郎 毒竹忍者隊最強之軍師,2025/01/15
18,工作細胞,2025/01/12
19,推拿,2025/01/12
20,東北虎,2025/01/11
21,風中有朵雨做的雲,2025/01/11
22,第一聖拳,2025/01/10
23,你好，愛，再次,2025/01/10
24,魔法小紅書,2025/01/10
25,誘見巴黎最後探戈,2025/01/10
26,鬼診所,2025/01/10
27,香巴拉,2025/01/10
28,我生活的兩個世界,2025/01/10
29,漂亮朋友,2025/01/10
30,春風沉醉的夜晚,2025/01/10
31,來福大酒店,2025/01/10
32,浮城謎事,2025/01/10
33,神州無賴街（新感線舞台劇第四季）,2025/01/07
34,狂人法則,2025/01/06
35,真的好想贏1場,2025/01/03
36,征服山的少年,2025/01/03
37,殘夏,2025/01/03
38,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2025/01/03
39,祝你們幸福,2025/01/03
40,新．里見八犬傳,2025/01/03
41,故事 開始的地方—希望閱讀,2025/01/03
42,鬼太郎誕生：咯咯咯之謎真生版,2025/01/01
43,死亡日記,2024/12/29
44,刺心切骨,2024/12/29
45,戰火浮生錄,2024/12/28
46,狐晴明九尾狩（新感線舞台劇第四季）,2024/12/28
47,IVE The 1st World Tour in Cinema,2024/12/27
48,EPIK HIGH 20 THE MOVIE,2024/12/27
49,鬼妹,2024/12/27
50,死命必達,2024/12/27
