序號,國別,片名,上映日,出品,院數,總日數,總金額,總票數,首週票房,週末總票房
9,韓國,與神同行,2017/12/22,(匈牙利)FREEWAY ENTERTAINMENT KFT.,103,140,513309442.0000,2201857,56079374.0000,300221195.0000
10,韓國,與神同行：最終審判,2018/08/08,(匈牙利)FREEWAY ENTERTAINMENT KFT.,96,94,480199268.0000,2015469,202683102.0000,271036356.0000
11,韓國,屍速列車,2016/09/02,CONTENTS PANDA,94,95,376916334.0000,1597802,158378556.0000,226836863.0000
12,韓國,屍速列車：感染半島,2020/07/15,CONTENTS PANDA,61,65,356348484.0000,1434527,170660919.0000,207374467.0000
13,韓國,寄生上流,2019/06/28,CJ ENM CO. LTD,66,222,151316959.0000,648753,14987255.0000,87078421.0000
14,韓國,雞不可失,2019/02/22,CJ ENM CO. LTD,101,113,117559060.0000,515557,27230646.0000,73693131.0000
15,韓國,白頭山：半島浩劫,2019/12/24,CJ ENM CO.  LTD.,73,65,115758503.0000,498357,35245749.0000,57455332.0000
16,韓國,破墓,2024/03/08,RELAY MOTION KFT.,75,111,112233275.0000,430431,28843828.0000,72759391.0000
17,韓國,軍艦島,2017/08/18,CJ E、M CORPORATION,87,99,69225108.0000,305365,32958950.0000,41976688.0000
18,韓國,薩滿,2021/08/25,RELAY MOTION KFT.,45,68,46966658.0000,180614,18324628.0000,25604665.0000
19,韓國,冠軍大叔,2018/06/15,FINECUT CO.  LTD.,98,77,45231049.0000,205544,22226275.0000,26909588.0000
20,韓國,緊急迫降,2022/08/12,RELAY MOTION KFT.,73,71,45065924.0000,184178,16793934.0000,27418939.0000
21,韓國,永生戰,2021/04/12,CJ ENM CO. LTD.,95,82,44885930.0000,189039,13384231.0000,26313725.0000
22,韓國,犯罪都市4,2024/04/26,RELAY MOTION KFT.,86,63,40263276.0000,158538,18296489.0000,25013927.0000
23,韓國,我只是個計程車司機,2017/09/08,SHOWBOX CORP.,83,115,39399150.0000,176311,13531447.0000,24048490.0000
24,韓國,90分鐘末日倒數,2018/12/28,CJ E、M CORPORATION,97,74,37278309.0000,165826,21610525.0000,20035286.0000
25,韓國,翻供,2020/07/22,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,103,111,37016244.0000,162945,5282690.0000,21512313.0000
26,韓國,SEVENTEEN TOUR 'FOLLOW' AGAIN TO CINEMAS,2024/08/21,Trafalgar Releasing Ltd.,29,39,33420810.0000,53874,22145470.0000,23733735.0000
27,韓國,82年生的金智英,2019/11/22,LOTTE CULTUREWORKS CO.  LTD.,66,91,32883942.0000,142769,10117981.0000,19551493.0000
28,韓國,超"人"氣動物園,2020/02/14,FINECUT CO.  LTD.,65,52,32522116.0000,139408,19147888.0000,22513377.0000
29,韓國,極限逃生,2019/08/30,CJ ENM CO.  LTD.,92,86,32125643.0000,143677,15875523.0000,21964163.0000
30,韓國,極惡對決,2019/06/20,K-MOVIE ENTERTAINMENT,70,85,28454846.0000,126661,16213320.0000,16861126.0000
31,韓國,驅魔使者,2019/08/16,LOTTE CULTUREWORKS CO.  LTD.,88,96,28416877.0000,126763,14569431.0000,17330717.0000
32,韓國,再見，福寶,2024/10/04,RELAY MOTION KFT.,91,40,28072310.0000,107926,12949990.0000,19181764.0000
33,韓國,特務搞飛機,2020/09/11,FREEWAY ENTERTAINMENT KFT.,63,62,26652548.0000,113048,8652448.0000,18465510.0000
34,韓國,鬼病院：靈異直播,2018/04/20,SHOWBOX CORP.,41,90,24905439.0000,109441,8922427.0000,15020244.0000
35,韓國,犯罪都市3,2023/06/02,RELAY MOTION KFT.,70,59,23535997.0000,97750,10790166.0000,15060858.0000
36,韓國,機密同盟2,2022/09/08,RELAY MOTION KFT.,67,57,19925286.0000,82725,8160089.0000,12236324.0000
37,韓國,水泥烏托邦：末日浩劫,2023/08/10,RELAY MOTION KFT.,76,56,19631552.0000,77891,12138169.0000,11979042.0000
38,韓國,鋼鐵雨：深潛行動,2020/07/29,LOTTE CULTUREWORKS CO.  LTD.,101,77,19544974.0000,87484,9341157.0000,11782119.0000
39,韓國,音爆浩劫,2022/11/25,RELAY MOTION KFT.,70,49,18704917.0000,79534,7876055.0000,12191228.0000
40,韓國,雨妳再次相遇,2018/04/04,LOTTE ENTERTAINMENT,54,89,18629850.0000,81406,7325944.0000,9679941.0000
