movie_name,release_date
喵的奇幻漂流,2025/01/21
鑽石大劫案：極盜戰,2025/01/20
見鬼發財,2025/01/17
哈利波特：火盃的考驗,2025/01/17
乖女孩,2025/01/17
哈利波特：阿茲卡班的逃犯,2025/01/17
哈利波特：消失的密室,2025/01/17
哈利波特：死神的聖物II,2025/01/17
哈利波特：混血王子的背叛,2025/01/17
哈利波特：鳳凰會的密令,2025/01/17
哈利波特：死神的聖物Ｉ,2025/01/17
達荷美：祖靈回家,2025/01/17
【我推的孩子】電影版,2025/01/17
不能說的秘密,2025/01/17
日泰小食,2025/01/17
更好的人,2025/01/16
PUI PUI 天竺鼠車車 電影版 MOLMAX,2025/01/15
劇場版 忍者亂太郎 毒竹忍者隊最強之軍師,2025/01/15
工作細胞,2025/01/12
推拿,2025/01/12
東北虎,2025/01/11
風中有朵雨做的雲,2025/01/11
第一聖拳,2025/01/10
你好，愛，再次,2025/01/10
魔法小紅書,2025/01/10
誘見巴黎最後探戈,2025/01/10
鬼診所,2025/01/10
香巴拉,2025/01/10
我生活的兩個世界,2025/01/10
漂亮朋友,2025/01/10
春風沉醉的夜晚,2025/01/10
來福大酒店,2025/01/10
浮城謎事,2025/01/10
神州無賴街（新感線舞台劇第四季）,2025/01/07
狂人法則,2025/01/06
真的好想贏1場,2025/01/03
征服山的少年,2025/01/03
殘夏,2025/01/03
劇場版「進擊的巨人」完結篇THE LAST ATTACK,2025/01/03
祝你們幸福,2025/01/03
新．里見八犬傳,2025/01/03
故事 開始的地方—希望閱讀,2025/01/03
鬼太郎誕生：咯咯咯之謎真生版,2025/01/01
死亡日記,2024/12/29
刺心切骨,2024/12/29
戰火浮生錄,2024/12/28
狐晴明九尾狩（新感線舞台劇第四季）,2024/12/28
IVE The 1st World Tour in Cinema,2024/12/27
EPIK HIGH 20 THE MOVIE,2024/12/27
鬼妹,2024/12/27
死命必達,2024/12/27
你是我眼中的那道光,2024/12/27
模範生禁愛秘密,2024/12/27
美妙寵物 光之美少女電影: 心跳加速♡遊戲世界大冒險！,2024/12/27
非想非非想,2024/12/27
曦曦,2024/12/27
爸爸,2024/12/26
交換禮物,2024/12/25
魔戒：洛汗人之戰,2024/12/24
雨中的慾情,2024/12/22
男歡女愛,2024/12/21
恐怖日常怪談,2024/12/20
末世生存者,2024/12/20
靈寓,2024/12/20
手榴彈‧革命‧還有愛與詩,2024/12/20
安眠殺機,2024/12/20
LAST MILE：全面引爆,2024/12/20
薔薇與武士2：海盜女王的回歸（新感線舞台劇第四季）,2024/12/20
殺人結業弒,2024/12/20
一部未完成的電影,2024/12/20
愛與怒,2024/12/19
獅子王：木法沙,2024/12/19
納米比亞沙漠直播中,2024/12/19
響亮心重奏,2024/12/18
吶喊雷克雅維克,2024/12/18
PTP：永遠不滅,2024/12/18
珍妮德爾曼,2024/12/16
藥頭悲歌II：血染雙手,2024/12/15
藥頭悲歌,2024/12/15
藥頭悲歌III：死神上門,2024/12/15
平克佛洛伊德：迷牆,2024/12/14
靈魂的重量,2024/12/14
東京戰爭戰後秘語,2024/12/14
再見了！茱莉亞,2024/12/13
窺鏡,2024/12/13
邪體：鬼拼屠,2024/12/13
旅人所嚮,2024/12/13
這就是聖誕節,2024/12/13
404宿靈速速逃,2024/12/13
獵人克萊文,2024/12/13
惡狼年代,2024/12/13
艾曼紐2024,2024/12/13
石榴的顏色,2024/12/13
風都偵探 假面騎士SKULL的肖象,2024/12/13
黑箱日記,2024/12/13
優雅的相遇,2024/12/13
NCT DREAM Mystery Lab: DREAM( )SCAPE in Cinemas,2024/12/11
我獨自升級：二次覺醒,2024/12/11
赤羽骨子的秘密保鑣,2024/12/08
八犬傳,2024/12/07
聽說,2024/12/06
從今以後,2024/12/06
Laufey's A Night at the Symphony: Hollywood Bowl,2024/12/06
艾諾拉,2024/12/06
全力揮擊,2024/12/06
風流西班牙: 摩洛哥情事,2024/12/06
消失的豪門妻,2024/12/06
沙奈：詛咒之歌,2024/12/06
台灣超人,2024/12/06
鳳姐,2024/12/06
傷痕-老兵的故事,2024/12/06
"RM:Right People, Wrong Place",2024/12/05
終極制裁者,2024/11/30
由島至島（上）,2024/11/30
由島至島,2024/11/30
Baekhyun: Lonsdaleite [dot] in Cinemas,2024/11/29
富豪遊戲,2024/11/29
隔壁的房間,2024/11/29
異教詭屋,2024/11/29
艾曼紐1974 4K修復版導演版,2024/11/29
絕命樂透彩,2024/11/29
地下終劫站,2024/11/29
我最喜歡的蛋糕,2024/11/29
海洋奇緣2,2024/11/28
心葬,2024/11/22
FIGHTING！女孩們,2024/11/22
鬼碟仙,2024/11/22
來自地獄的邪靈,2024/11/22
殺,2024/11/22
偶像大師 劇場版: 前往光輝的另一端 經典10週年,2024/11/22
難言之隱,2024/11/22
惡靈怪談,2024/11/22
空海 【經典數位修復】,2024/11/22
女兒的女兒,2024/11/22
春行,2024/11/22
魔法壞女巫,2024/11/21
破·地獄,2024/11/19
"HIGHLIGHT “LIGHTS GO ON, AGAIN” IN CINEMA",2024/11/15
薩滿新娘,2024/11/15
羅素克洛之大法師,2024/11/15
驚爆封鎖線,2024/11/15
噠噠噠達利,2024/11/15
福田村事件,2024/11/15
餘燼,2024/11/15
默視錄,2024/11/15
神鬼戰士 2,2024/11/14
我談的那場戀愛,2024/11/11
在熙的男，朋友,2024/11/08
幸福國度,2024/11/08
靠近維梅爾,2024/11/08
荊棘天堂,2024/11/08
焚城,2024/11/08
幕前幕後：范克萊本鋼琴大賽,2024/11/08
霸愛之路,2024/11/08
成為星星的少女,2024/11/08
五等分的新娘*,2024/11/08
黑之牛,2024/11/08
來生再見未名的我們,2024/11/08
紅色一號,2024/11/07
罪惡對決,2024/11/02
保羅‧賽門：無眠樂章,2024/11/02
非普通家族,2024/11/01
草迷宮恐怖殺人事件,2024/11/01
布勒合唱團：溫布利球場演唱會,2024/11/01
超／人：克里斯多夫李維傳奇故事,2024/11/01
劇場版 OVERLORD - 聖王國篇,2024/11/01
刀劍神域劇場版-序列爭戰,2024/11/01
仇雲殺機,2024/11/01
鬼們之蝴蝶大廈,2024/11/01
愛子歸來,2024/11/01
鬼聲泣2,2024/10/31
劊樂小丑2,2024/10/31
劊樂小丑,2024/10/31
當警探戀愛時,2024/10/27
生活瑣事,2024/10/26
熟男不疑惑,2024/10/26
皇后復仇中,2024/10/25
鬼禁地,2024/10/25
地獄灰姑娘,2024/10/25
劊樂小丑3,2024/10/25
白南準：月亮是最古早的電視,2024/10/25
真愛未了情,2024/10/25
鋼之鍊金術師BROTHERHOOD 15週年特別版,2024/10/25
巡演轉學生,2024/10/25
日本人的養成,2024/10/25
從水深0米開始,2024/10/25
乒乓男孩,2024/10/25
為我辦一場西式的喪禮,2024/10/25
十字路口的豬,2024/10/25
猛毒最終章：最後一舞,2024/10/23
樂一通大戰外星人：粉紅末日,2024/10/19
風之谷,2024/10/19
辣手警探2,2024/10/18
惡夢偵相,2024/10/18
懼裂,2024/10/18
微笑 2,2024/10/18
孤狼救援,2024/10/18
鄰家密友,2024/10/18
銀魂劇場版 2D 一國傾城篇,2024/10/18
陰陽師0,2024/10/18
默殺：無聲之地,2024/10/18
雪中真相,2024/10/18
TAEYONG: TY TRACK IN CINEMAS,2024/10/16
JUNG KOOK: I AM STILL THE PARTY EDITION,2024/10/11
愛殺特攻隊,2024/10/10
荒野機器人,2024/10/10
鬼袋人,2024/10/10
逃出搶錢鎮,2024/10/10
劇場總集篇 孤獨搖滾！Re:Re:,2024/10/10
與夢前行  宮﨑駿,2024/10/10
銀魂劇場版 2D  荊棘惡童篇,2024/10/10
小雁與吳愛麗,2024/10/10
念念眷村：文學裡的眷村故事,2024/10/10
太陽王與人魚：新帝國,2024/10/09
危機航線,2024/10/09
藍色時期,2024/10/05
再見，福寶,2024/10/04
