序號,國別,片名,上映日,出品,院數,總日數,總金額,總票數,首週票房,週末總票房
9,韓國,與神同行,2017/12/22,(匈牙利)FREEWAY ENTERTAINMENT KFT.,103,140,513309442.0000,2201857,56079374.0000,300221195.0000
10,韓國,與神同行：最終審判,2018/08/08,(匈牙利)FREEWAY ENTERTAINMENT KFT.,96,94,480199268.0000,2015469,202683102.0000,271036356.0000
11,韓國,屍速列車,2016/09/02,CONTENTS PANDA,94,95,376916334.0000,1597802,158378556.0000,226836863.0000
12,韓國,屍速列車：感染半島,2020/07/15,CONTENTS PANDA,61,65,356348484.0000,1434527,170660919.0000,207374467.0000
13,韓國,寄生上流,2019/06/28,CJ ENM CO. LTD,66,222,151316959.0000,648753,14987255.0000,87078421.0000
14,韓國,雞不可失,2019/02/22,CJ ENM CO. LTD,101,113,117559060.0000,515557,27230646.0000,73693131.0000
15,韓國,白頭山：半島浩劫,2019/12/24,CJ ENM CO.  LTD.,73,65,115758503.0000,498357,35245749.0000,57455332.0000
16,韓國,破墓,2024/03/08,RELAY MOTION KFT.,75,111,112233275.0000,430431,28843828.0000,72759391.0000
939,馬來西亞,富都青年,2023/12/01,CINEMA INUTILE  INC.、mm2 Entertainment PTE. LTD.、大元娛樂有限公司 IS Entertainment Co.  Ltd.、彼演員多媒體有限公司 Be Actor Co.  Ltd.、星娛音樂有限公司 XYmusic Ltd.、JW SAB 、 PARTNERS,77,114,101213858.0000,400244,16567608.0000,62703442.0000
969,泰國,模犯生,2017/07/21,GDH559 COMPANY LIMITED,79,141,147943802.0000,646910,17489599.0000,84522934.0000
1086,香港,葉問4：完結篇,2019/12/19,東方影業出品有限公司,107,115,185425478.0000,809557,77270746.0000,109583047.0000
1087,香港,寒戰2,2016/07/08,中國電影股份有限公司、萬誘引力乙有限公司、安樂影片有限公司、安樂（北京）電影發行有限公司、上海騰訊企鵝影業文化傳播有限公司,92,78,140999346.0000,610478,66191089.0000,90716829.0000
1638,美國,復仇者聯盟:終局之戰,2019/04/24,BUENA VISTA INTERNATIONAL  INC.,109,172,910456089.0000,3492311,479031335.0000,514983315.0000
1639,美國,阿凡達：水之道,2022/12/16,BUENA VISTA INTERNATIONAL  INC.,107,178,747055409.0000,2239300,191191176.0000,444583311.0000
1640,美國,捍衛戰士: 獨行俠,2022/05/23,PARAMOUNT PICTURES CORPORATION,105,310,736367012.0000,2687817,93491579.0000,437744989.0000
1641,美國,玩命關頭8,2017/04/12,UNIVERSAL INTERNATIONAL FILMS LLC,109,150,650836998.0000,2674179,334958533.0000,391995582.0000
1642,美國,復仇者聯盟：無限之戰,2018/04/25,BUENA VISTA INTERNATIONAL  INC.,105,135,641776135.0000,2596803,371275224.0000,369860787.0000
1643,美國,侏羅紀世界:殞落國度,2018/06/06,UNIVERSAL INTERNATIONAL FILMS LLC,110,180,621720384.0000,2554833,296874359.0000,387521683.0000
1644,美國,腦筋急轉彎2 ,2024/06/13,BUENA VISTA INTERNATIONAL  INC.,96,152,513328153.0000,1922838,107020849.0000,325671879.0000
1645,美國,蜘蛛人：無家日,2021/12/15,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,107,171,498216125.0000,1967162,245706042.0000,315521898.0000
1646,美國,水行俠,2018/12/12,WARNER BROS. PICTURES INTERNATIONAL.,112,167,470984595.0000,1957132,179866182.0000,272486996.0000
1647,美國,玩命關頭:特別行動,2019/07/31,UNIVERSAL INTERNATIONAL FILMS LLC,111,140,454504504.0000,1906023,222356181.0000,271297103.0000
1648,美國,不可能的任務：全面瓦解,2018/07/25,PARAMOUNT PICTURES CORPORATION,109,134,447486435.0000,1897530,199420144.0000,269461325.0000
1649,美國,不可能的任務：致命清算 第一章,2023/07/06,PARAMOUNT PICTURES CORPORATION,106,167,436711037.0000,1544217,110093018.0000,279328599.0000
1650,美國,驚奇隊長,2019/03/06,BUENA VISTA INTERNATIONAL  INC.,109,157,404391001.0000,1699437,205078929.0000,256276552.0000
1651,美國,蜘蛛人：離家日,2019/07/02,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,114,149,379826849.0000,1596769,198639501.0000,222589647.0000
1652,美國,黑豹,2018/02/13,BUENA VISTA INTERNATIONAL  INC.,102,150,373051577.0000,1575728,202809493.0000,175426537.0000
