text,label
超級推，要看就是看IMAX，二刷4DX，台灣會晚上4DX,1
你只要有看過鬼滅動畫，就會去看電影版,1
已經二刷了😂動畫做的很細緻華麗，很值得去,1
超推！比今年好萊塢任一部暑期強檔都還好看(只看過前一集劇場版的門外漢路過),1
蠻推薦的，原來人的內心是如此的寂寞，還有被愛是如此的重要。,1
已經刷了六場！好看,1
真的好看 但建議避開人潮 看的更爽🥺,1
不知道你有沒有看到義勇對決猗窩座那邊了 動畫組運用3D技術製作的分鏡其實會讓人眼睛一亮！,1
我的媽，超好看！ 最後一集居然還嚇一下。根本沒想到劇情會這樣🙏🏻超推,1
凶器 很好看啊，國內外的好評又不是收錢亂評價的，每個影評網站都是高分這點就不可能作假，只是風格特殊不合你的意罷了，這片我還會二刷～,1
好喜歡《凶器》喔。通常我看到這種超級我性癖的電影，我就不會再去看其他人怎麼寫這部片了。會再去二刷😍,1
昨天晚上去看《凶器》 我覺得蠻好看的耶～很特別 有嚇了幾次🫣也有笑出來的地方哈哈哈,1
逆風一下 脆上看到大家說凶器是爛片 但我覺得好看（？）,1
先說結論很好看 但以前超英電影有漫威跟DC 現在只剩漫威和漫威了,1
說真的 近年來 最棒的英雄電影 甚至超越漫威了， 這部超人有震撼到,1
看完電影了 那隻恐龍好醜唷 不過也沒像影評說的難看,1
今天英國剛上映《凶器 Weapons》這部驚悚懸疑片，難得又看到電影院這麼多人 敘事手法，跟氛圍營造真的超棒，爛番茄剛開分貌似有到100% 未知是恐懼的來源，已知且無法掌控則是焦慮不安的開始。我認為這兩個部分，電影都使用的恰到好處。,1
電影確實做了相當大幅的修剪 包含金獨子的家庭關係、劉眾赫與夥伴的愛恨情仇、背後星的介入… 也改動了許多劇情，包含千仁浩的背景、孔弼斗的處境，把火龍提前在金湖站出沒… 但這些令許多原作黨大為批評的部分 我反而覺得是改編電影不得不做的妥協 有些地方的改動反而讓劇情更順暢或易懂 甚至是完全不像的鬼怪，以及李智慧的劍 我都覺得尚能接受 畢竟電影本來就沒有一定要服務原作書迷的必要性 要把《全知讀者視角》這樣篇幅的作品 濃縮成幾部電影 一定是需要割捨才能成立,1
網上影評都吹上天了，史上最佳超英電影！！！,1
鬼人幻燈抄，真的很好看 真的是被動畫瘋刷低評分害慘 程度就像休傑克曼大娛樂家 被當時一眾影評害慘結果卻是他歷年票房最高作品流傳最雋永的,1
自己是覺得還蠻好看的啦！ 沒有像很多影評講的那麼糟 也有可能是我沒看過原作所以觀影體驗還不錯 但今天看完之後會想把原作找出來補一下 比較看看👀！,1
不知道為什麼很多影評都說這次侏羅紀不好看 但明明很好看而且蠻刺激的 還好我不是那種會聽別人說不好看就不來看的人,1
看完凶器 果然是非常合我的胃口,1
一部氣氛勒到窒息的恐怖片，甚至加了一些黑色幽默，導演用多角色視角拼出謎團，再由故事走向慢慢把真相拼回去。 外媒誇它是近年最原創、最大膽的恐怖片之一，台灣影評也說氛圍壓迫感拉滿，缺點是中段節奏偏慢，但結局直截人心，把所有碎片拼上後的衝擊感超強。,1
看完《星際寶貝：史迪奇》，居然泛淚了🥹 他不是壞，他只是怕… 這部電影，推薦給每個曾覺得「我是不是不值得被愛」的人。 《星際寶貝：史迪奇》用最簡單的方式，給了一個最溫柔的答案。,1
熟悉的角色，有了更深的故事。 差別不只是劇情，是對感覺上的刻畫，可以進戲院體驗一下🙌,1
剛看完也是 雖然私人因素也導致泛淚但整部氛圍感太好了，家人就是沒有任何人被丟下，感動爆哭但又有可愛的笑點,1
真的…那種「沒有人會被丟下」的氛圍超有力，笑著笑著就哭了…,1
我哭了四次.. 沒想到這是可以哭的電影,1
中間到後面都是鼻酸感動😭,1
我哭兩三次耶 最後結束的音樂一放 那熟悉的音樂 但又有再改過 感受到夏威夷豐富的生命力 那是來自打從心底的開心與感動,1
坦白說，到中間時我真的覺得滿好看的。我蠻喜歡羅伯·派汀森對17、18的角色演繹，也喜歡個性還沒被鬼改的關，還有默默關心米奇的觀察員，戴眼鏡的高智商錄影男，反派政客夫妻，損友等等。這部電影的角色顏值真的蠻高的，反派夫妻也演得很好，就是標準的政客嘴臉，各種把主角當成垃圾的舉動也很無情卻很寫實,1
剛剛看了F1，我知道有點太晚了，我也不是什麼專業影評，但怎麼說呢，的確是一部好電影，沒看過的真心推薦可以去看一下。,1
是不是 整場Nana超帥！ 她武打技能流暢，我都在內心撕吼 為她的帥氣喝采🥳🥳🥳,1
從來沒看過 F1 賽事，規則也完全不懂， 但這部片完全能看，也完全被吸進去了。 首刷是在 Titan 廳（但看 IMAX 應該更爽）。 引擎聲、畫面音效一衝上來，身體整個被震住。 每個轉彎、每個加速都充滿不確定的緊張感， 那種從腳底麻到頭皮的感覺，完全忘不掉。,1
我今天帶媽媽看電影 4DX 3D的 我媽媽說很刺激😂,1
看完了！ 我不是什麼專業影評，就不說心得了 只能說：Damn 必須得去電影院看,1
廣告狂人Mad Men在台灣很少被提及，但是國外影評對他有非常高的評價，絕對是邪惡主角系的先鋒之一 人物刻畫、編劇、畫面美感完全不輸同類型黑暗人格的Breaking Bad或Bojack Horseman，在我心目中更是比肩Better Call Saul的存在🔥,1
我透過《關於性》追蹤了好多新的好影評帳號 而《關於愛》的辯論完全把我拉進最深沉的辯論和思考 這片帶給我的震撼動搖了我的生涯百大和21世紀百大榜單 他有濱口的味道，但又有歐洲人的直接,1
結論來說，這集我還蠻喜歡的；如同社群上看到的那篇影評，說這次就是寡姐小隊刷三個任務，真的是簡單明快,1
《破。地獄》 有家庭issue的人，現在抱著一卷廚房紙巾去電影院哭！ （一包舒潔不夠，就是要廚房紙巾❗️） 其實我覺得變成六集影集會精彩許多，因為描寫前面幾組家屬的故事，彷彿很像拿美工刀在木板上劃，有紋路但不深刻。 其中蓮姐的角色，讓我想到我此生愛片《不虛此行》裡面一位老婦人的獨白，可見演員的強大，而且剛剛才知道蓮姐是金燕玲演的，五體投地！ 片中探討的衝突我都非常喜歡，生與死、生意與良知、個人與禮教、留下或離開等等⋯⋯ 雖然最後一場背水一戰的吵架，處理得好尷尬，台詞欠佳，但緊接著的儀式畫面，我願稱之為藝術！ 鏡頭底下的破地獄美到如夢似幻，音樂和演員彼此烘托，一切都美不勝收。 儘管有一些地方我覺得還差一口氣，但那都是我的吹毛求疵，實在瑕不掩瑜，推薦給想看一部好片的你,1
《波紋》好雷影評：對待人的軟肋 ■ 無雷推薦語 荻上直子非常擅長用奇奇怪怪的故事，寫非常深沉壓抑的悲傷。《波紋》除了剖開家人之間的不理解，也對「善良」做了我不停點頭的精妙詮釋。 （以下有雷） 看《波紋》的時候，腦中一直冒出的問句是：什麼是善良？包括對他人和自己的善良。 在這種探討善惡的電影中，通常會先讓你看到難搞、充滿地雷的刺蝟，後來再揭露苦衷，帶出反差和反思。 《波紋》也不例外。 它描繪出沉迷於斂財宗教和報復念頭的妻子，以及多次逃離醫院的女同事。特別的是，前半段對於他們的傷痛與苦衷，近乎未提及，妻子遇到的家內性騷、被丈夫拋下的無助，都用平鋪直敘或者簡短的畫面帶過。 本來以為這是淡化，單純為後面的對比設計，後來我發現，這非常寫實。妻子與女同事，都用沉默和其他行動表達自己的悲傷。,1
